ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
58,Paradise Regained,"Milton, John, 1608-1674",1993,,,https://www.gutenberg.org/cache/epub/58/pg58.cover.medium.jpg,https://www.gutenberg.org/cache/epub/58/pg58.cover.medium.jpg,https://www.gutenberg.org/cache/epub/58/pg58.cover.medium.jpg
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René, 1596-1650",1993,,,https://www.gutenberg.org/cache/epub/59/pg59.cover.medium.jpg,https://www.gutenberg.org/cache/epub/59/pg59.cover.medium.jpg,https://www.gutenberg.org/cache/epub/59/pg59.cover.medium.jpg
60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947",2006,,,https://www.gutenberg.org/cache/epub/60/pg60.cover.medium.jpg,https://www.gutenberg.org/cache/epub/60/pg60.cover.medium.jpg,https://www.gutenberg.org/cache/epub/60/pg60.cover.medium.jpg
61,The Communist Manifesto,"Marx, Karl, 1818-1883",2005,,,https://www.gutenberg.org/cache/epub/61/pg61.cover.medium.jpg,https://www.gutenberg.org/cache/epub/61/pg61.cover.medium.jpg,https://www.gutenberg.org/cache/epub/61/pg61.cover.medium.jpg
62,A Princess of Mars,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg,https://www.gutenberg.org/cache/epub/62/pg62.cover.medium.jpg
63,"The Number ""e""",Unknown,1993,,,https://www.gutenberg.org/cache/epub/63/pg63.cover.medium.jpg,https://www.gutenberg.org/cache/epub/63/pg63.cover.medium.jpg,https://www.gutenberg.org/cache/epub/63/pg63.cover.medium.jpg
64,The Gods of Mars,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/64/pg64.cover.medium.jpg,https://www.gutenberg.org/cache/epub/64/pg64.cover.medium.jpg,https://www.gutenberg.org/cache/epub/64/pg64.cover.medium.jpg
65,"The First 100,000 Prime Numbers",Unknown,1993,,,https://www.gutenberg.org/cache/epub/65/pg65.cover.medium.jpg,https://www.gutenberg.org/cache/epub/65/pg65.cover.medium.jpg,https://www.gutenberg.org/cache/epub/65/pg65.cover.medium.jpg
66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,"Joly, Norman F.",1993,,,https://www.gutenberg.org/cache/epub/66/pg66.cover.medium.jpg,https://www.gutenberg.org/cache/epub/66/pg66.cover.medium.jpg,https://www.gutenberg.org/cache/epub/66/pg66.cover.medium.jpg
67,The Black Experience in America,"Coombs, Norman, 1932-",1993,,,https://www.gutenberg.org/cache/epub/67/pg67.cover.medium.jpg,https://www.gutenberg.org/cache/epub/67/pg67.cover.medium.jpg,https://www.gutenberg.org/cache/epub/67/pg67.cover.medium.jpg
